LGDS|197 LEY General de Desarrollo Social DOF 20/01/2004 Nueva reforma DOF 15/01/2026
LGE|199 LEY General de Educación DOF 30/09/2019 Nueva reforma DOF 15/01/2026
LGEC|198 LEY General de Economía Circular DOF 19/01/2026 Nueva Ley Sin reforma
LGEEPA|223 LEY General del Equilibrio Ecológico y la Protección al Ambiente DOF 28/01/1988 Nueva reforma DOF 19/01/2026
LGeo|058 LEY de Geotermia DOF 18/03/2025 Sin reforma
LGES_200421|200 LEY General de Educación Superior DOF 20/04/2021 Sin reforma
LGIPD|235 LEY General para la Inclusión de las Personas con Discapacidad DOF 30/05/2011 DOF 14/06/2024
LGIPE|201 LEY General de Instituciones y Procedimientos Electorales DOF 23/05/2014 DOF 14/10/2024
LGISMH|234 LEY General para la Igualdad Sustantiva entre Mujeres y Hombres (Antes "Ley General para la Igualdad entre Mujeres y Hombres" ) DOF 02/08/2006 Nueva reforma DOF 15/01/2026
LGMASC|205 LEY General de Mecanismos Alternativos de Solución de Controversias DOF 26/01/2024 Sin reforma
LGMDE_200521|228 LEY General en Materia de Delitos Electorales DOF 23/05/2014 DOF 20/05/2021
LGMDFP|229 LEY General en Materia de Desaparición Forzada de Personas, Desaparición Cometida por Particulares y del Sistema Nacional de Búsqueda de Personas DOF 17/11/2017 DOF 16/07/2025
LGMHCTI|230 LEY General en materia de Humanidades, Ciencias, Tecnologías e Innovación DOF 08/05/2023 Sin reforma
LGMIME|204 LEY General de los Medios de Impugnación en Materia Electoral DOF 02/03/2023 ( Declaratoria de Invalidez de la Ley DOF 24/11/2023 ) DOF 24/11/2023 Sentencia SCJN
LGMSV|206 LEY General de Movilidad y Seguridad Vial DOF 17/05/2022 DOF 29/12/2023
LGN|074 LEY de la Guardia Nacional DOF 16/07/2025 Sin reforma
LGOAAC|207 LEY General de Organizaciones y Actividades Auxiliares del Crédito DOF 14/01/1985 Nueva reforma DOF 14/11/2025
LGP|210 LEY General de Población DOF 07/01/1974 DOF 16/07/2025
LGPAS|209 LEY General de Pesca y Acuacultura Sustentables DOF 24/07/2007 DOF 01/04/2024
LGPC|212 LEY General de Protección Civil DOF 06/06/2012 DOF 21/12/2023
LGPDPPSO|213 LEY General de Protección de Datos Personales en Posesión de Sujetos Obligados DOF 20/03/2025 Nueva reforma DOF 14/11/2025
LGPGIR|237 LEY General para la Prevención y Gestión Integral de los Residuos DOF 08/10/2003 Nueva reforma DOF 19/01/2026
LGPISDME|239 Ley General para Prevenir, Investigar y Sancionar los Delitos en Materia de Extorsión, Reglamentaria de la fracción XXI del artículo 73 de la Constitución Política de los Estados Unidos Mexicanos 
LGPIST|238 LEY General para Prevenir, Investigar y Sancionar la Tortura y Otros Tratos o Penas Crueles, Inhumanos o Degradantes DOF 26/06/2017 DOF 28/04/2022
LGPP|208 LEY General de Partidos Políticos DOF 23/05/2014 DOF 24/11/2023 Sentencia SCJN
LGPSACDII|211 LEY General de Prestación de Servicios para la Atención, Cuidado y Desarrollo Integral Infantil DOF 24/10/2011 DOF 01/04/2024
LGPSDMS_200521|241 LEY General para Prevenir y Sancionar los Delitos en Materia de Secuestro, Reglamentaria de la fracción XXI del artículo 73 de la Constitución Política de los Estados Unidos Mexicanos DOF 30/11/20
LGPSEDMTP|240 LEY General para Prevenir, Sancionar y Erradicar los Delitos en Materia de Trata de Personas y para la Protección y Asistencia a las Víctimas de estos Delitos DOF 14/06/2012 Nueva reforma DOF 14/1
LGPSVD_040521|236 LEY General para la Prevención Social de la Violencia y la Delincuencia DOF 24/01/2012 DOF 04/05/2021
LGRA|214 LEY General de Responsabilidades Administrativas DOF 18/07/2016 Nueva reforma DOF 15/12/2025
LGS|215 LEY General de Salud DOF 07/02/1984 Nuevas reformas DOF 15/01/2026
LGSC|216 LEY General de Sociedades Cooperativas DOF 03/08/1994 DOF 16/04/2025
LGSCMM_300919|227 LEY General del Sistema para la Carrera de las Maestras y los Maestros DOF 30/09/2019 Sin reforma
LGSM|217 LEY General de Sociedades Mercantiles DOF 04/08/1934 Nueva reforma DOF 26/12/2025
LGSMIME|224 LEY General del Sistema de Medios de Impugnación en Materia Electoral DOF 22/11/1996 ( "Recupera vigencia" por Declaratoria de Invalidez DOF 24/11/2023 ) Nueva reforma DOF 14/11/2025
LGSNA_200521|225 LEY General del Sistema Nacional Anticorrupción DOF 18/07/2016 DOF 20/05/2021
LGSNSP|226 LEY General del Sistema Nacional de Seguridad Pública DOF 16/07/2025 Sin reforma
LGT|220 LEY General de Turismo DOF 17/06/2009 Nueva reforma DOF 14/11/2025
LGTAIP|219 LEY General de Transparencia y Acceso a la Información Pública DOF 20/03/2025 Sin reforma
LGTOC|218 LEY General de Títulos y Operaciones de Crédito DOF 27/08/1932 DOF 26/03/2024
LGV|221 LEY General de Víctimas DOF 09/01/2013 DOF 01/04/2024
LGVS|222 LEY General de Vida Silvestre DOF 03/07/2000 DOF 16/07/2025
LHHEUM|077 LEY de los Husos Horarios en los Estados Unidos Mexicanos DOF 28/10/2022 DOF 29/11/2022
LIC|062 LEY de Instituciones de Crédito DOF 18/07/1990 Nueva reforma DOF 14/11/2025
LICal_010720|059 LEY de Infraestructura de la Calidad DOF 01/07/2020 Sin reforma
LIE|064 LEY de Inversión Extranjera DOF 27/12/1993 DOF 27/05/2024
LIEPS|113 LEY del Impuesto Especial sobre Producción y Servicios DOF 30/12/1980 Nueva reforma DOF 22/12/2025
LIF_2026|060 LEY de Ingresos de la Federación para el Ejercicio Fiscal de 2026 DOF 07/11/2025 Nueva Ley en vigor a partir del 01/01/2026 Sin reforma
LIFNCT|118 LEY del Instituto del Fondo Nacional para el Consumo de los Trabajadores DOF 24/04/2006 DOF 03/01/2024
LIFNVT|117 LEY del Instituto del Fondo Nacional de la Vivienda para los Trabajadores DOF 24/04/1972 DOF 21/02/2025
LIGIE_2022|078 LEY de los Impuestos Generales de Importación y de Exportación DOF 07/06/2022 En actualización DOF 31/12/2025
LIH|061 LEY de Ingresos sobre Hidrocarburos DOF 11/08/2014 Nueva reforma DOF 28/12/2025
LIISPCEN|277 LEY para Impulsar el Incremento Sostenido de la Productividad y la Competitividad de la Economía Nacional DOF 06/05/2015 DOF 17/04/2024
LIMJ|119 LEY del Instituto Mexicano de la Juventud DOF 06/01/1999 DOF 01/04/2024
LINPI|121 LEY del Instituto Nacional de los Pueblos Indígenas DOF 04/12/2018 DOF 29/12/2023
LINS|079 LEY de los Institutos Nacionales de Salud DOF 26/05/2000 DOF 11/05/2022
LISF|063 LEY de Instituciones de Seguros y de Fianzas DOF 04/04/2013 Nueva reforma DOF 14/11/2025
LISR|114 LEY del Impuesto sobre la Renta DOF 11/12/2013 DOF 01/04/2024
LISSFAM|115 LEY del Instituto de Seguridad Social para las Fuerzas Armadas Mexicanas DOF 09/07/2003 Nueva declaratoria de inconstitucionalidad Notificación 15/01/2026 Sentencia SCJN
LISSSTE|116 LEY del Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado DOF 31/03/2007 Nueva reforma DOF 15/01/2026
LIVA|112 LEY del Impuesto al Valor Agregado DOF 29/12/1978 DOF 12/11/2021
